SKU,Product Name,Current Category,Recommended Category,Confidence,Reason
110051,110051,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110052,110052,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110054,110054,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110056,110056,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110057,110057,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110059,110059,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110061,110061,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110062,110062,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110063,110063,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110064,110064,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110065,110065,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110066,110066,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110067,110067,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110068,110068,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110069,110069,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110070,110070,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110071,110071,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110072,110072,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110074,110074,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110075,110075,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110076,110076,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110077,110077,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110078,110078,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110079,110079,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110082,110082,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110083,110083,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110084,110084,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110085,110085,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110086,110086,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110087,110087,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110089,110089,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110090,110090,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110092,110092,(none),(none),15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110094,110094,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110095,110095,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110097,110097,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110098,110098,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110099,110099,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110100,110100,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110101,110101,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110102,110102,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110103,110103,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110104,110104,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110105,110105,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110106,110106,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110107,110107,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110108,110108,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110109,110109,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110110,110110,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110111,110111,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110112,110112,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110113,110113,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110114,110114,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110115,110115,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110116,110116,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110117,110117,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110118,110118,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110119,110119,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110120,110120,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110121,110121,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110122,110122,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110123,110123,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
110124,110124,สินค้าและอุปกรณ์สำหรับเด็ก,สินค้าและอุปกรณ์สำหรับเด็ก,15,ชื่อเป็นรหัส SKU อย่างเดียว ไม่เดาหมวด
